"siteId","siteLabel","microsite","depth","rep","percentRPC"
6,"Scol 10pb","open","6-15cm",2,0.233535131123206
6,"Scol 10pb","open","6-15cm",3,0.296724677460157
6,"Scol 10pb","smooth","0-5cm",1,0.749325434348477
6,"Scol 10pb","smooth","0-5cm",2,0.743809518849206
6,"Scol 10pb","smooth","0-5cm",3,1.03553944733581
6,"Scol 10pb","smooth","6-15cm",1,0.352118758706468
6,"Scol 10pb","smooth","6-15cm",2,0.424608127350213
6,"Scol 10pb","smooth","6-15cm",3,0.367586499620349
6,"Scol 10pb","rough","0-5cm",1,1.30215630092477
6,"Scol 10pb","rough","0-5cm",2,1.13412820347395
6,"Scol 10pb","rough","0-5cm",3,0.616086281382053
6,"Scol 10pb","rough","6-15cm",1,0.332271701337296
6,"Scol 10pb","rough","6-15cm",2,0.291378061401337
6,"Scol 10pb","rough","6-15cm",3,0.195966939182453
7,"Kt 30+","open","0-5cm",1,1.11001728826338
7,"Kt 30+","open","0-5cm",2,0.845985550584141
7,"Kt 30+","open","0-5cm",3,0.871793475655431
7,"Kt 30+","open","6-15cm",1,0.74136712905623
7,"Kt 30+","open","6-15cm",2,0.818991228592703
7,"Kt 30+","open","6-15cm",3,0.515539473023839
7,"Kt 30+","smooth","0-5cm",1,1.24982481425322
7,"Kt 30+","smooth","0-5cm",2,2.31850779775281
7,"Kt 30+","smooth","0-5cm",3,2.06263325082091
7,"Kt 30+","smooth","6-15cm",1,0.435008562874251
7,"Kt 30+","smooth","6-15cm",2,0.3814257039801
7,"Kt 30+","smooth","6-15cm",3,0.606384432989691
7,"Kt 30+","rough","0-5cm",1,1.26873858116637
7,"Kt 30+","rough","0-5cm",2,1.52362680693069
7,"Kt 30+","rough","0-5cm",3,1.12627609552691
7,"Kt 30+","rough","6-15cm",1,1.05708636386386
7,"Kt 30+","rough","6-15cm",2,1.15914173101186
7,"Kt 30+","rough","6-15cm",3,1.04845600247219
8,"ING 2WPB","open","0-5cm",1,0.419867623441396
8,"ING 2WPB","open","0-5cm",2,0.912819271042084
8,"ING 2WPB","open","0-5cm",3,0.357085690345173
8,"ING 2WPB","open","6-15cm",1,0.157446091522881
8,"ING 2WPB","open","6-15cm",2,0.214133813836478
8,"ING 2WPB","open","6-15cm",3,0.226622630136986
8,"ING 2WPB","smooth","0-5cm",1,0.954796949950446
8,"ING 2WPB","smooth","0-5cm",2,1.13268479380155
8,"ING 2WPB","smooth","0-5cm",3,0.873889623777276
8,"ING 2WPB","smooth","6-15cm",1,0.530131503036437
8,"ING 2WPB","smooth","6-15cm",2,0.381849900670474
8,"ING 2WPB","smooth","6-15cm",3,0.485512354549975
8,"ING 2WPB","rough","0-5cm",1,0.769821779049515
8,"ING 2WPB","rough","0-5cm",2,0.780775931731985
8,"ING 2WPB","rough","0-5cm",3,1.04918920999495
8,"ING 2WPB","rough","6-15cm",1,0.416520042330677
8,"ING 2WPB","rough","6-15cm",2,0.380509305764411
8,"ING 2WPB","rough","6-15cm",3,0.356900962795375
9,"Boo 20 W","open","0-5cm",1,0.526826260630315
9,"Boo 20 W","open","0-5cm",2,0.688862659440383
9,"Boo 20 W","open","0-5cm",3,0.724084690154923
9,"Boo 20 W","open","6-15cm",1,0.48490295323831
9,"Boo 20 W","open","6-15cm",2,0.70424993759361
9,"Boo 20 W","open","6-15cm",3,0.602746089648341
9,"Boo 20 W","smooth","0-5cm",1,0.43038739560168
9,"Boo 20 W","smooth","0-5cm",2,0.511965336813323
9,"Boo 20 W","smooth","0-5cm",3,0.434008068040725
9,"Boo 20 W","smooth","6-15cm",1,0.825457768574297
9,"Boo 20 W","smooth","6-15cm",2,0.759238521215164
9,"Boo 20 W","smooth","6-15cm",3,0.677408749689903
9,"Boo 20 W","rough","0-5cm",1,0.735294878472222
9,"Boo 20 W","rough","0-5cm",2,0.8065644125
9,"Boo 20 W","rough","0-5cm",3,0.902100581918082
9,"Boo 20 W","rough","6-15cm",1,0.531073468726638
9,"Boo 20 W","rough","6-15cm",2,0.882126346539619
9,"Boo 20 W","rough","6-15cm",3,0.713527004251063
10,"Red 5W","open","0-5cm",1,0.443883302172815
10,"Red 5W","open","0-5cm",2,0.394019235367372
10,"Red 5W","open","0-5cm",3,0.578124963957246
10,"Red 5W","open","6-15cm",1,0.00199252287905021
10,"Red 5W","open","6-15cm",2,0.514031739570164
10,"Red 5W","open","6-15cm",3,0.253081106946527
10,"Red 5W","smooth","0-5cm",1,0.826836638930913
10,"Red 5W","smooth","0-5cm",2,0.975267300505051
10,"Red 5W","smooth","0-5cm",3,0.936581765143992
10,"Red 5W","smooth","6-15cm",1,0.68818405041178
10,"Red 5W","smooth","6-15cm",2,0.503530718773561
10,"Red 5W","smooth","6-15cm",3,0.629621638147962
10,"Red 5W","rough","0-5cm",1,1.01214327131003
10,"Red 5W","rough","0-5cm",2,1.43635612183505
10,"Red 5W","rough","0-5cm",3,1.09915394497728
10,"Red 5W","rough","6-15cm",1,1.23087134910647
10,"Red 5W","rough","6-15cm",2,0.889675436868687
10,"Red 5W","rough","6-15cm",3,0.899109467977811
11,"Vic 5WHS","open","0-5cm",1,1.28850714143674
11,"Vic 5WHS","open","0-5cm",2,0.920831573770492
11,"Vic 5WHS","open","0-5cm",3,0.808462368355378
11,"Vic 5WHS","open","6-15cm",1,0.28947564536185
11,"Vic 5WHS","open","6-15cm",2,0.462990732129607
11,"Vic 5WHS","open","6-15cm",3,0.428735145895153
11,"Vic 5WHS","smooth","0-5cm",1,0.64774717136443
11,"Vic 5WHS","smooth","0-5cm",2,0.634226594202899
11,"Vic 5WHS","smooth","0-5cm",3,0.671307864346949
11,"Vic 5WHS","smooth","6-15cm",1,0.264680983320886
11,"Vic 5WHS","smooth","6-15cm",2,0.324051338327091
11,"Vic 5WHS","smooth","6-15cm",3,0.241499398552533
11,"Vic 5WHS","rough","0-5cm",1,2.85849962981617
11,"Vic 5WHS","rough","0-5cm",2,2.87372911757333
11,"Vic 5WHS","rough","0-5cm",3,2.71481017354125
11,"Vic 5WHS","rough","6-15cm",1,1.44462951629073
11,"Vic 5WHS","rough","6-15cm",2,1.2539466741517
11,"Vic 5WHS","rough","6-15cm",3,1.56643704551169
12,"Vic 5 WLS","open","0-5cm",1,0.594468136317908
12,"Vic 5 WLS","open","0-5cm",2,0.631525350655903
12,"Vic 5 WLS","open","0-5cm",3,0.527269385682438
12,"Vic 5 WLS","open","6-15cm",1,0.172518471702817
12,"Vic 5 WLS","open","6-15cm",2,0.486832558656458
12,"Vic 5 WLS","open","6-15cm",3,0.220688014594867
12,"Vic 5 WLS","smooth","0-5cm",1,0.514157252581214
12,"Vic 5 WLS","smooth","0-5cm",2,0.684539047020367
12,"Vic 5 WLS","smooth","0-5cm",3,1.06846304951996
12,"Vic 5 WLS","smooth","6-15cm",1,0.289250926525529
12,"Vic 5 WLS","smooth","6-15cm",2,0.236618484924623
12,"Vic 5 WLS","smooth","6-15cm",3,0.197565208962739
12,"Vic 5 WLS","rough","0-5cm",1,0.940187359536407
12,"Vic 5 WLS","rough","0-5cm",2,1.25948336049383
12,"Vic 5 WLS","rough","0-5cm",3,0.982121735330837
12,"Vic 5 WLS","rough","6-15cm",1,0.61920165453176
12,"Vic 5 WLS","rough","6-15cm",2,0.555328630445669
12,"Vic 5 WLS","rough","6-15cm",3,0.638724111751441
13,"AND 5W","open","0-5cm",1,0.484314061561562
13,"AND 5W","open","0-5cm",2,0.634863581977472
13,"AND 5W","open","0-5cm",3,0.528565166246851
13,"AND 5W","open","6-15cm",1,0.277962520609543
13,"AND 5W","open","6-15cm",2,0.421314346405229
13,"AND 5W","open","6-15cm",3,0.371399334652486
13,"AND 5W","smooth","0-5cm",1,0.908284502762431
13,"AND 5W","smooth","0-5cm",2,0.813032321295143
13,"AND 5W","smooth","0-5cm",3,0.929323828885009
13,"AND 5W","smooth","6-15cm",1,0.563723806099678
13,"AND 5W","smooth","6-15cm",2,0.306429733601407
